"profileID","respID","qID","altID","obsID","tired","walking","sports","concentration","embarrassed","unhappiness","treated"
"4512345",6,6,1,46,"often","always","never","almost never","sometimes","often","always"
"2154531",6,7,1,47,"almost never","never","always","often","always","sometimes","never"
"4321253",6,8,1,48,"often","sometimes","almost never","never","almost never","always","sometimes"
"5432241",7,1,1,49,"always","often","sometimes","almost never","almost never","often","never"
"3451352",7,2,1,50,"sometimes","often","always","never","sometimes","always","almost never"
"4321135",7,3,1,51,"often","sometimes","almost never","never","never","sometimes","always"
"1425413",7,4,1,52,"never","often","almost never","always","often","never","sometimes"
"2222444",7,5,1,53,"almost never","almost never","almost never","almost never","often","often","often"
"4444555",7,6,1,54,"often","often","often","often","always","always","always"
"5241154",7,7,1,55,"always","almost never","often","never","never","always","often"
"4512531",7,8,1,56,"often","always","never","almost never","always","sometimes","never"
"1234512",8,1,1,57,"never","almost never","sometimes","often","always","never","almost never"
"1234253",8,2,1,58,"never","almost never","sometimes","often","almost never","always","sometimes"
"4135234",8,3,1,59,"often","never","sometimes","always","almost never","sometimes","often"
"4512154",8,4,1,60,"often","always","never","almost never","never","always","often"
"1234512",8,5,1,61,"never","almost never","sometimes","often","always","never","almost never"
"3215142",8,6,1,62,"sometimes","almost never","never","always","never","often","almost never"
"3333111",8,7,1,63,"sometimes","sometimes","sometimes","sometimes","never","never","never"
"4444111",8,8,1,64,"often","often","often","often","never","never","never"
"2345123",9,1,1,65,"almost never","sometimes","often","always","never","almost never","sometimes"
"1234253",9,2,1,66,"never","almost never","sometimes","often","almost never","always","sometimes"
"5555111",9,3,1,67,"always","always","always","always","never","never","never"
"5241345",9,4,1,68,"always","almost never","often","never","sometimes","often","always"
"5555222",9,5,1,69,"always","always","always","always","almost never","almost never","almost never"
"2413512",9,6,1,70,"almost never","often","never","sometimes","always","never","almost never"
"3215215",9,7,1,71,"sometimes","almost never","never","always","almost never","never","always"
"3333444",9,8,1,72,"sometimes","sometimes","sometimes","sometimes","often","often","often"
"3524314",10,1,1,73,"sometimes","always","almost never","often","sometimes","never","often"
"2222555",10,2,1,74,"almost never","almost never","almost never","almost never","always","always","always"
"4253432",10,3,1,75,"often","almost never","always","sometimes","often","sometimes","almost never"
"4135234",10,4,1,76,"often","never","sometimes","always","almost never","sometimes","often"
"2531142",10,5,1,77,"almost never","always","sometimes","never","never","often","almost never"
"1111222",10,6,1,78,"never","never","never","never","almost never","almost never","almost never"
"5241345",10,7,1,79,"always","almost never","often","never","sometimes","often","always"
"3215215",10,8,1,80,"sometimes","almost never","never","always","almost never","never","always"
"4321135",11,1,1,81,"often","sometimes","almost never","never","never","sometimes","always"
"1425413",11,2,1,82,"never","often","almost never","always","often","never","sometimes"
"3524241",11,3,1,83,"sometimes","always","almost never","often","almost never","often","never"
"5432432",11,4,1,84,"always","often","sometimes","almost never","often","sometimes","almost never"
"5555333",11,5,1,85,"always","always","always","always","sometimes","sometimes","sometimes"
"4135352",11,6,1,86,"often","never","sometimes","always","sometimes","always","almost never"
"1234321",11,7,1,87,"never","almost never","sometimes","often","sometimes","almost never","never"
"2413321",11,8,1,88,"almost never","often","never","sometimes","sometimes","almost never","never"
"2222555",12,1,1,89,"almost never","almost never","almost never","almost never","always","always","always"
"3333555",12,2,1,90,"sometimes","sometimes","sometimes","sometimes","always","always","always"
"2154154",12,3,1,91,"almost never","never","always","often","never","always","often"
"1111333",12,4,1,92,"never","never","never","never","sometimes","sometimes","sometimes"
"4444111",12,5,1,93,"often","often","often","often","never","never","never"
"5432314",12,6,1,94,"always","often","sometimes","almost never","sometimes","never","often"
"2154345",12,7,1,95,"almost never","never","always","often","sometimes","often","always"
"5314234",12,8,1,96,"always","sometimes","never","often","almost never","sometimes","often"
"4135543",13,1,1,97,"often","never","sometimes","always","always","often","sometimes"
"2222333",13,2,1,98,"almost never","almost never","almost never","almost never","sometimes","sometimes","sometimes"
"4253123",13,3,1,99,"often","almost never","always","sometimes","never","almost never","sometimes"
"1352142",13,4,1,100,"never","sometimes","always","almost never","never","often","almost never"
"1352451",13,5,1,101,"never","sometimes","always","almost never","often","always","never"
"1352142",13,6,1,102,"never","sometimes","always","almost never","never","often","almost never"
"4512531",13,7,1,103,"often","always","never","almost never","always","sometimes","never"
"4321321",13,8,1,104,"often","sometimes","almost never","never","sometimes","almost never","never"
"4444444",14,1,1,105,"often","often","often","often","often","often","often"
"1352524",14,2,1,106,"never","sometimes","always","almost never","always","almost never","often"
"4444444",14,3,1,107,"often","often","often","often","often","often","often"
"4253432",14,4,1,108,"often","almost never","always","sometimes","often","sometimes","almost never"
"5241531",14,5,1,109,"always","almost never","often","never","always","sometimes","never"
"3142253",14,6,1,110,"sometimes","never","often","almost never","almost never","always","sometimes"
"2345314",14,7,1,111,"almost never","sometimes","often","always","sometimes","never","often"
"4444555",14,8,1,112,"often","often","often","often","always","always","always"
"4253123",15,1,1,113,"often","almost never","always","sometimes","never","almost never","sometimes"
"1234135",15,2,1,114,"never","almost never","sometimes","often","never","sometimes","always"
"4321321",15,3,1,115,"often","sometimes","almost never","never","sometimes","almost never","never"
"2413321",15,4,1,116,"almost never","often","never","sometimes","sometimes","almost never","never"
"3524123",15,5,1,117,"sometimes","always","almost never","often","never","almost never","sometimes"
"3451234",15,6,1,118,"sometimes","often","always","never","almost never","sometimes","often"
"5241154",15,7,1,119,"always","almost never","often","never","never","always","often"
"5555333",15,8,1,120,"always","always","always","always","sometimes","sometimes","sometimes"
"5123142",16,1,1,121,"always","never","almost never","sometimes","never","often","almost never"
"1352215",16,2,1,122,"never","sometimes","always","almost never","almost never","never","always"
"4444444",16,3,1,123,"often","often","often","often","often","often","often"
"4135543",16,4,1,124,"often","never","sometimes","always","always","often","sometimes"
"5432314",16,5,1,125,"always","often","sometimes","almost never","sometimes","never","often"
"1543425",16,6,1,126,"never","always","often","sometimes","often","almost never","always"
"5314352",16,7,1,127,"always","sometimes","never","often","sometimes","always","almost never"
"5432314",16,8,1,128,"always","often","sometimes","almost never","sometimes","never","often"
"3142321",17,1,1,129,"sometimes","never","often","almost never","sometimes","almost never","never"
"3215451",17,2,1,130,"sometimes","almost never","never","always","often","always","never"
"2154413",17,3,1,131,"almost never","never","always","often","often","never","sometimes"
"4135352",17,4,1,132,"often","never","sometimes","always","sometimes","always","almost never"
"4512345",17,5,1,133,"often","always","never","almost never","sometimes","often","always"
"2154345",17,6,1,134,"almost never","never","always","often","sometimes","often","always"
"4253241",17,7,1,135,"often","almost never","always","sometimes","almost never","often","never"
"4321512",17,8,1,136,"often","sometimes","almost never","never","always","never","almost never"
"1234253",18,1,1,137,"never","almost never","sometimes","often","almost never","always","sometimes"
"2531142",18,2,1,138,"almost never","always","sometimes","never","never","often","almost never"
"1234253",18,3,1,139,"never","almost never","sometimes","often","almost never","always","sometimes"
"2154345",18,4,1,140,"almost never","never","always","often","sometimes","often","always"
"3333444",18,5,1,141,"sometimes","sometimes","sometimes","sometimes","often","often","often"
"3524314",18,6,1,142,"sometimes","always","almost never","often","sometimes","never","often"
"2345314",18,7,1,143,"almost never","sometimes","often","always","sometimes","never","often"
"2413135",18,8,1,144,"almost never","often","never","sometimes","never","sometimes","always"
"5432241",19,1,1,145,"always","often","sometimes","almost never","almost never","often","never"
"2531524",19,2,1,146,"almost never","always","sometimes","never","always","almost never","often"
"2345432",19,3,1,147,"almost never","sometimes","often","always","often","sometimes","almost never"
"3142512",19,4,1,148,"sometimes","never","often","almost never","always","never","almost never"
"5314352",19,5,1,149,"always","sometimes","never","often","sometimes","always","almost never"
"2413321",19,6,1,150,"almost never","often","never","sometimes","sometimes","almost never","never"
"3333333",19,7,1,151,"sometimes","sometimes","sometimes","sometimes","sometimes","sometimes","sometimes"
"2222333",19,8,1,152,"almost never","almost never","almost never","almost never","sometimes","sometimes","sometimes"
"2222333",20,1,1,153,"almost never","almost never","almost never","almost never","sometimes","sometimes","sometimes"
"4253123",20,2,1,154,"often","almost never","always","sometimes","never","almost never","sometimes"
"2222444",20,3,1,155,"almost never","almost never","almost never","almost never","often","often","often"
"1425345",20,4,1,156,"never","often","almost never","always","sometimes","often","always"
"5123142",20,5,1,157,"always","never","almost never","sometimes","never","often","almost never"
"4253241",20,6,1,158,"often","almost never","always","sometimes","almost never","often","never"
"5314234",20,7,1,159,"always","sometimes","never","often","almost never","sometimes","often"
"2345241",20,8,1,160,"almost never","sometimes","often","always","almost never","often","never"
"1425413",21,1,1,161,"never","often","almost never","always","often","never","sometimes"
"3142253",21,2,1,162,"sometimes","never","often","almost never","almost never","always","sometimes"
"4444222",21,3,1,163,"often","often","often","often","almost never","almost never","almost never"
"4444555",21,4,1,164,"often","often","often","often","always","always","always"
"1543234",21,5,1,165,"never","always","often","sometimes","almost never","sometimes","often"
"3215215",21,6,1,166,"sometimes","almost never","never","always","almost never","never","always"
"5555333",21,7,1,167,"always","always","always","always","sometimes","sometimes","sometimes"
"3142321",21,8,1,168,"sometimes","never","often","almost never","sometimes","almost never","never"
"5314352",22,1,1,169,"always","sometimes","never","often","sometimes","always","almost never"
"2413135",22,2,1,170,"almost never","often","never","sometimes","never","sometimes","always"
"2413512",22,3,1,171,"almost never","often","never","sometimes","always","never","almost never"
"2345241",22,4,1,172,"almost never","sometimes","often","always","almost never","often","never"
"2413253",22,5,1,173,"almost never","often","never","sometimes","almost never","always","sometimes"
"5432123",22,6,1,174,"always","often","sometimes","almost never","never","almost never","sometimes"
"4135543",22,7,1,175,"often","never","sometimes","always","always","often","sometimes"
"5432241",22,8,1,176,"always","often","sometimes","almost never","almost never","often","never"
"5123142",23,1,1,177,"always","never","almost never","sometimes","never","often","almost never"
"1111111",23,2,1,178,"never","never","never","never","never","never","never"
"3142512",23,3,1,179,"sometimes","never","often","almost never","always","never","almost never"
"4135234",23,4,1,180,"often","never","sometimes","always","almost never","sometimes","often"
"1234321",23,5,1,181,"never","almost never","sometimes","often","sometimes","almost never","never"
"4444111",23,6,1,182,"often","often","often","often","never","never","never"
"5314352",23,7,1,183,"always","sometimes","never","often","sometimes","always","almost never"
"4253123",23,8,1,184,"often","almost never","always","sometimes","never","almost never","sometimes"
"2413321",24,1,1,185,"almost never","often","never","sometimes","sometimes","almost never","never"
"1234512",24,2,1,186,"never","almost never","sometimes","often","always","never","almost never"
"5123142",24,3,1,187,"always","never","almost never","sometimes","never","often","almost never"
"2154154",24,4,1,188,"almost never","never","always","often","never","always","often"
"3524314",24,5,1,189,"sometimes","always","almost never","often","sometimes","never","often"
"2345432",24,6,1,190,"almost never","sometimes","often","always","often","sometimes","almost never"
"2222222",24,7,1,191,"almost never","almost never","almost never","almost never","almost never","almost never","almost never"
"4135234",24,8,1,192,"often","never","sometimes","always","almost never","sometimes","often"
"1543425",25,1,1,193,"never","always","often","sometimes","often","almost never","always"
"1111222",25,2,1,194,"never","never","never","never","almost never","almost never","almost never"
"2413321",25,3,1,195,"almost never","often","never","sometimes","sometimes","almost never","never"
"5432123",25,4,1,196,"always","often","sometimes","almost never","never","almost never","sometimes"
"4321321",25,5,1,197,"often","sometimes","almost never","never","sometimes","almost never","never"
"2345314",25,6,1,198,"almost never","sometimes","often","always","sometimes","never","often"
"1234253",25,7,1,199,"never","almost never","sometimes","often","almost never","always","sometimes"
"4321321",25,8,1,200,"often","sometimes","almost never","never","sometimes","almost never","never"
"3333555",26,1,1,201,"sometimes","sometimes","sometimes","sometimes","always","always","always"
"4253241",26,2,1,202,"often","almost never","always","sometimes","almost never","often","never"
"5241345",26,3,1,203,"always","almost never","often","never","sometimes","often","always"
"5555111",26,4,1,204,"always","always","always","always","never","never","never"
"1425413",26,5,1,205,"never","often","almost never","always","often","never","sometimes"
"4444444",26,6,1,206,"often","often","often","often","often","often","often"
"5123142",26,7,1,207,"always","never","almost never","sometimes","never","often","almost never"
"5432123",26,8,1,208,"always","often","sometimes","almost never","never","almost never","sometimes"
"4253314",27,1,1,209,"often","almost never","always","sometimes","sometimes","never","often"
"1111333",27,2,1,210,"never","never","never","never","sometimes","sometimes","sometimes"
"2413253",27,3,1,211,"almost never","often","never","sometimes","almost never","always","sometimes"
"1425345",27,4,1,212,"never","often","almost never","always","sometimes","often","always"
"1111222",27,5,1,213,"never","never","never","never","almost never","almost never","almost never"
"5314352",27,6,1,214,"always","sometimes","never","often","sometimes","always","almost never"
"5314543",27,7,1,215,"always","sometimes","never","often","always","often","sometimes"
"5123142",27,8,1,216,"always","never","almost never","sometimes","never","often","almost never"
"5123451",28,1,1,217,"always","never","almost never","sometimes","often","always","never"
"2222333",28,2,1,218,"almost never","almost never","almost never","almost never","sometimes","sometimes","sometimes"
"2531142",28,3,1,219,"almost never","always","sometimes","never","never","often","almost never"
"4512154",28,4,1,220,"often","always","never","almost never","never","always","often"
"2531524",28,5,1,221,"almost never","always","sometimes","never","always","almost never","often"
"4321321",28,6,1,222,"often","sometimes","almost never","never","sometimes","almost never","never"
"1352451",28,7,1,223,"never","sometimes","always","almost never","often","always","never"
"2345432",28,8,1,224,"almost never","sometimes","often","always","often","sometimes","almost never"
"4253432",29,1,1,225,"often","almost never","always","sometimes","often","sometimes","almost never"
"4253314",29,2,1,226,"often","almost never","always","sometimes","sometimes","never","often"
"3142135",29,3,1,227,"sometimes","never","often","almost never","never","sometimes","always"
"4135543",29,4,1,228,"often","never","sometimes","always","always","often","sometimes"
"5241531",29,5,1,229,"always","almost never","often","never","always","sometimes","never"
"4512413",29,6,1,230,"often","always","never","almost never","often","never","sometimes"
"2345314",29,7,1,231,"almost never","sometimes","often","always","sometimes","never","often"
"1543234",29,8,1,232,"never","always","often","sometimes","almost never","sometimes","often"
"4135543",30,1,1,233,"often","never","sometimes","always","always","often","sometimes"
"5123451",30,2,1,234,"always","never","almost never","sometimes","often","always","never"
"1543234",30,3,1,235,"never","always","often","sometimes","almost never","sometimes","often"
"5241345",30,4,1,236,"always","almost never","often","never","sometimes","often","always"
"2413135",30,5,1,237,"almost never","often","never","sometimes","never","sometimes","always"
"2154154",30,6,1,238,"almost never","never","always","often","never","always","often"
"3333333",30,7,1,239,"sometimes","sometimes","sometimes","sometimes","sometimes","sometimes","sometimes"
"4135543",30,8,1,240,"often","never","sometimes","always","always","often","sometimes"
"5555111",31,1,1,241,"always","always","always","always","never","never","never"
"3333555",31,2,1,242,"sometimes","sometimes","sometimes","sometimes","always","always","always"
"3142253",31,3,1,243,"sometimes","never","often","almost never","almost never","always","sometimes"
"3451543",31,4,1,244,"sometimes","often","always","never","always","often","sometimes"
"5432241",31,5,1,245,"always","often","sometimes","almost never","almost never","often","never"
"3215215",31,6,1,246,"sometimes","almost never","never","always","almost never","never","always"
"5555333",31,7,1,247,"always","always","always","always","sometimes","sometimes","sometimes"
"2222222",31,8,1,248,"almost never","almost never","almost never","almost never","almost never","almost never","almost never"
"1234512",32,1,1,249,"never","almost never","sometimes","often","always","never","almost never"
"2222444",32,2,1,250,"almost never","almost never","almost never","almost never","often","often","often"
"4321135",32,3,1,251,"often","sometimes","almost never","never","never","sometimes","always"
"2222555",32,4,1,252,"almost never","almost never","almost never","almost never","always","always","always"
"2345123",32,5,1,253,"almost never","sometimes","often","always","never","almost never","sometimes"
"4512154",32,6,1,254,"often","always","never","almost never","never","always","often"
"3142512",32,7,1,255,"sometimes","never","often","almost never","always","never","almost never"
"1543234",32,8,1,256,"never","always","often","sometimes","almost never","sometimes","often"
"5432432",33,1,1,257,"always","often","sometimes","almost never","often","sometimes","almost never"
"4135234",33,2,1,258,"often","never","sometimes","always","almost never","sometimes","often"
"3215451",33,3,1,259,"sometimes","almost never","never","always","often","always","never"
"5123215",33,4,1,260,"always","never","almost never","sometimes","almost never","never","always"
"5555222",33,5,1,261,"always","always","always","always","almost never","almost never","almost never"
"1352451",33,6,1,262,"never","sometimes","always","almost never","often","always","never"
"3215215",33,7,1,263,"sometimes","almost never","never","always","almost never","never","always"
"2222555",33,8,1,264,"almost never","almost never","almost never","almost never","always","always","always"
"4321512",34,1,1,265,"often","sometimes","almost never","never","always","never","almost never"
"5241413",34,2,1,266,"always","almost never","often","never","often","never","sometimes"
"4512154",34,3,1,267,"often","always","never","almost never","never","always","often"
"5241345",34,4,1,268,"always","almost never","often","never","sometimes","often","always"
"3142253",34,5,1,269,"sometimes","never","often","almost never","almost never","always","sometimes"
"5314543",34,6,1,270,"always","sometimes","never","often","always","often","sometimes"
"2345314",34,7,1,271,"almost never","sometimes","often","always","sometimes","never","often"
"3333333",34,8,1,272,"sometimes","sometimes","sometimes","sometimes","sometimes","sometimes","sometimes"
"1111111",35,1,1,273,"never","never","never","never","never","never","never"
"1111111",35,2,1,274,"never","never","never","never","never","never","never"
"2345123",35,3,1,275,"almost never","sometimes","often","always","never","almost never","sometimes"
"2154345",35,4,1,276,"almost never","never","always","often","sometimes","often","always"
"4135425",35,5,1,277,"often","never","sometimes","always","often","almost never","always"
"4253241",35,6,1,278,"often","almost never","always","sometimes","almost never","often","never"
"1111333",35,7,1,279,"never","never","never","never","sometimes","sometimes","sometimes"
"2531142",35,8,1,280,"almost never","always","sometimes","never","never","often","almost never"
"2345314",36,1,1,281,"almost never","sometimes","often","always","sometimes","never","often"
"4135234",36,2,1,282,"often","never","sometimes","always","almost never","sometimes","often"
"4444555",36,3,1,283,"often","often","often","often","always","always","always"
"2345241",36,4,1,284,"almost never","sometimes","often","always","almost never","often","never"
"3451234",36,5,1,285,"sometimes","often","always","never","almost never","sometimes","often"
"3451234",36,6,1,286,"sometimes","often","always","never","almost never","sometimes","often"
"1543234",36,7,1,287,"never","always","often","sometimes","almost never","sometimes","often"
"5123215",36,8,1,288,"always","never","almost never","sometimes","almost never","never","always"
"2222444",37,1,1,289,"almost never","almost never","almost never","almost never","often","often","often"
"3333333",37,2,1,290,"sometimes","sometimes","sometimes","sometimes","sometimes","sometimes","sometimes"
"2413321",37,3,1,291,"almost never","often","never","sometimes","sometimes","almost never","never"
"5432432",37,4,1,292,"always","often","sometimes","almost never","often","sometimes","almost never"
"3215142",37,5,1,293,"sometimes","almost never","never","always","never","often","almost never"
"1111222",37,6,1,294,"never","never","never","never","almost never","almost never","almost never"
"3333555",37,7,1,295,"sometimes","sometimes","sometimes","sometimes","always","always","always"
"5123142",37,8,1,296,"always","never","almost never","sometimes","never","often","almost never"
"5432241",38,1,1,297,"always","often","sometimes","almost never","almost never","often","never"
"3524314",38,2,1,298,"sometimes","always","almost never","often","sometimes","never","often"
"5123524",38,3,1,299,"always","never","almost never","sometimes","always","almost never","often"
"2413321",38,4,1,300,"almost never","often","never","sometimes","sometimes","almost never","never"
"2345314",38,5,1,301,"almost never","sometimes","often","always","sometimes","never","often"
"3524314",38,6,1,302,"sometimes","always","almost never","often","sometimes","never","often"
"3142253",38,7,1,303,"sometimes","never","often","almost never","almost never","always","sometimes"
"3524123",38,8,1,304,"sometimes","always","almost never","often","never","almost never","sometimes"
"5555555",39,1,1,305,"always","always","always","always","always","always","always"
"5555222",39,2,1,306,"always","always","always","always","almost never","almost never","almost never"
"4321321",39,3,1,307,"often","sometimes","almost never","never","sometimes","almost never","never"
"3451234",39,4,1,308,"sometimes","often","always","never","almost never","sometimes","often"
"3215215",39,5,1,309,"sometimes","almost never","never","always","almost never","never","always"
"1543425",39,6,1,310,"never","always","often","sometimes","often","almost never","always"
"4135425",39,7,1,311,"often","never","sometimes","always","often","almost never","always"
"4321253",39,8,1,312,"often","sometimes","almost never","never","almost never","always","sometimes"
"2531215",40,1,1,313,"almost never","always","sometimes","never","almost never","never","always"
"2531142",40,2,1,314,"almost never","always","sometimes","never","never","often","almost never"
"4321321",40,3,1,315,"often","sometimes","almost never","never","sometimes","almost never","never"
"2345314",40,4,1,316,"almost never","sometimes","often","always","sometimes","never","often"
"3142135",40,5,1,317,"sometimes","never","often","almost never","never","sometimes","always"
"1543352",40,6,1,318,"never","always","often","sometimes","sometimes","always","almost never"
"5123142",40,7,1,319,"always","never","almost never","sometimes","never","often","almost never"
"2154531",40,8,1,320,"almost never","never","always","often","always","sometimes","never"
"2154413",41,1,1,321,"almost never","never","always","often","often","never","sometimes"
"2154531",41,2,1,322,"almost never","never","always","often","always","sometimes","never"
"5555111",41,3,1,323,"always","always","always","always","never","never","never"
"3524123",41,4,1,324,"sometimes","always","almost never","often","never","almost never","sometimes"
"2531215",41,5,1,325,"almost never","always","sometimes","never","almost never","never","always"
"2345241",41,6,1,326,"almost never","sometimes","often","always","almost never","often","never"
"2413512",41,7,1,327,"almost never","often","never","sometimes","always","never","almost never"
"1425154",41,8,1,328,"never","often","almost never","always","never","always","often"
"5555111",42,1,1,329,"always","always","always","always","never","never","never"
"2154345",42,2,1,330,"almost never","never","always","often","sometimes","often","always"
"5314234",42,3,1,331,"always","sometimes","never","often","almost never","sometimes","often"
"5123142",42,4,1,332,"always","never","almost never","sometimes","never","often","almost never"
"5555555",42,5,1,333,"always","always","always","always","always","always","always"
"2154413",42,6,1,334,"almost never","never","always","often","often","never","sometimes"
"3524241",42,7,1,335,"sometimes","always","almost never","often","almost never","often","never"
"2154154",42,8,1,336,"almost never","never","always","often","never","always","often"
"2154413",43,1,1,337,"almost never","never","always","often","often","never","sometimes"
"3215451",43,2,1,338,"sometimes","almost never","never","always","often","always","never"
"2413321",43,3,1,339,"almost never","often","never","sometimes","sometimes","almost never","never"
"4444111",43,4,1,340,"often","often","often","often","never","never","never"
"5432314",43,5,1,341,"always","often","sometimes","almost never","sometimes","never","often"
"3451352",43,6,1,342,"sometimes","often","always","never","sometimes","always","almost never"
"2413135",43,7,1,343,"almost never","often","never","sometimes","never","sometimes","always"
"3451234",43,8,1,344,"sometimes","often","always","never","almost never","sometimes","often"
"1543234",44,1,1,345,"never","always","often","sometimes","almost never","sometimes","often"
"5241345",44,2,1,346,"always","almost never","often","never","sometimes","often","always"
"4321135",44,3,1,347,"often","sometimes","almost never","never","never","sometimes","always"
"4512531",44,4,1,348,"often","always","never","almost never","always","sometimes","never"
"4444222",44,5,1,349,"often","often","often","often","almost never","almost never","almost never"
"5241531",44,6,1,350,"always","almost never","often","never","always","sometimes","never"
"1425154",44,7,1,351,"never","often","almost never","always","never","always","often"
"2154531",44,8,1,352,"almost never","never","always","often","always","sometimes","never"
"1352524",45,1,1,353,"never","sometimes","always","almost never","always","almost never","often"
"5555333",45,2,1,354,"always","always","always","always","sometimes","sometimes","sometimes"
"4321512",45,3,1,355,"often","sometimes","almost never","never","always","never","almost never"
"5241154",45,4,1,356,"always","almost never","often","never","never","always","often"
"1234321",45,5,1,357,"never","almost never","sometimes","often","sometimes","almost never","never"
"4512413",45,6,1,358,"often","always","never","almost never","often","never","sometimes"
"1234253",45,7,1,359,"never","almost never","sometimes","often","almost never","always","sometimes"
"2531215",45,8,1,360,"almost never","always","sometimes","never","almost never","never","always"
"4444111",46,1,1,361,"often","often","often","often","never","never","never"
"2413253",46,2,1,362,"almost never","often","never","sometimes","almost never","always","sometimes"
"4321135",46,3,1,363,"often","sometimes","almost never","never","never","sometimes","always"
"4512531",46,4,1,364,"often","always","never","almost never","always","sometimes","never"
"1234253",46,5,1,365,"never","almost never","sometimes","often","almost never","always","sometimes"
"3215451",46,6,1,366,"sometimes","almost never","never","always","often","always","never"
"4253314",46,7,1,367,"often","almost never","always","sometimes","sometimes","never","often"
"5432123",46,8,1,368,"always","often","sometimes","almost never","never","almost never","sometimes"
"5432241",47,1,1,369,"always","often","sometimes","almost never","almost never","often","never"
"5241345",47,2,1,370,"always","almost never","often","never","sometimes","often","always"
"3451543",47,3,1,371,"sometimes","often","always","never","always","often","sometimes"
"3333444",47,4,1,372,"sometimes","sometimes","sometimes","sometimes","often","often","often"
"5123215",47,5,1,373,"always","never","almost never","sometimes","almost never","never","always"
"3451352",47,6,1,374,"sometimes","often","always","never","sometimes","always","almost never"
"4135425",47,7,1,375,"often","never","sometimes","always","often","almost never","always"
"4444555",47,8,1,376,"often","often","often","often","always","always","always"
"1425413",48,1,1,377,"never","often","almost never","always","often","never","sometimes"
"5123142",48,2,1,378,"always","never","almost never","sometimes","never","often","almost never"
"1234321",48,3,1,379,"never","almost never","sometimes","often","sometimes","almost never","never"
"3451352",48,4,1,380,"sometimes","often","always","never","sometimes","always","almost never"
"2531451",48,5,1,381,"almost never","always","sometimes","never","often","always","never"
"4444444",48,6,1,382,"often","often","often","often","often","often","often"
"2531524",48,7,1,383,"almost never","always","sometimes","never","always","almost never","often"
"3524314",48,8,1,384,"sometimes","always","almost never","often","sometimes","never","often"
